document_id,positive_score,negative_score,polarity_score,subjectivity_score,word_count,sentence_count,avg_sentence_length,percentage_complex_words,fog_index,avg_words_per_sentence,complex_word_count,syllable_count,personal_pronoun_count,avg_word_length
134,0,1,-1.0,0.3352564102564102,198,15,13.2,37.37373737373738,20.22949494949495,13.2,74,511,4,8.121212121212121
135,0,1,-1.0,0.3929437229437228,251,16,15.6875,36.65338645418327,20.93635458167331,15.6875,92,660,5,8.151394422310757
136,0,1,-1.0,0.2544631838749486,254,18,14.11111111111111,34.645669291338585,19.50271216097988,14.11111111111111,88,620,8,7.562992125984252
137,2,1,0.3333333333333333,0.38653591306652524,407,9,45.22222222222222,55.528255528255535,40.30019110019111,45.22222222222222,226,1163,6,8.454545454545455
138,0,2,-1.0,0.3859025032938077,174,4,43.5,27.011494252873565,28.204597701149424,43.5,47,387,2,6.902298850574713
139,0,5,-1.0,0.5181818181818181,192,3,64.0,32.29166666666667,38.51666666666667,64.0,62,454,1,7.635416666666667
140,3,2,0.2,0.39660421545667446,595,28,21.25,39.32773109243698,24.23109243697479,21.25,234,1414,25,7.426890756302521
141,5,1,0.6666666666666666,0.47957040644540644,625,30,20.833333333333332,37.6,23.373333333333335,20.833333333333332,235,1449,16,7.2
142,1,0,1.0,0.3515285996055227,158,4,39.5,48.10126582278481,35.040506329113924,39.5,76,429,1,8.322784810126583
143,1,3,-0.5,0.24289044289044295,224,11,20.363636363636363,36.160714285714285,22.609740259740263,20.363636363636363,81,530,6,7.232142857142857
144,0,1,-1.0,0.2626984126984127,138,5,27.6,44.927536231884055,29.011014492753624,27.6,62,369,2,8.405797101449275
145,1,1,0.0,0.36440656565656565,204,6,34.0,36.27450980392157,28.10980392156863,34.0,74,505,3,7.779411764705882
146,0,1,-1.0,0.3791666666666667,147,7,21.0,38.095238095238095,23.63809523809524,21.0,56,381,4,8.068027210884354
147,1,0,1.0,0.38033910533910537,280,7,40.0,45.0,34.0,40.0,126,777,5,8.382142857142858
